Source,Target,Weight
DLC25,DLC12,2
DLC25,DLC24,2
DLC25,DLC22,3
DLC16,DLC25,1
DLC16,DLC12,5
DLC16,DLC24,1
DLC16,DLC2,1
DLC16,DLC20,6
DLC16,DLC18,5
DLC16,DLC22,2
DLC16,DLC7,3
DLC16,DLC17,1
DLC12,DLC25,1
DLC12,DLC16,7
DLC12,DLC24,7
DLC12,DLC20,6
DLC12,DLC18,3
DLC12,DLC22,2
DLC12,DLC17,1
DLC24,DLC25,1
DLC24,DLC16,1
DLC24,DLC12,7
DLC24,DLC2,1
DLC24,DLC20,4
DLC24,DLC22,1
DLC24,DLC9,3
DLC24,DLC7,2
DLC24,DLC17,1
DLC24,DLC5,1
DLC2,DLC24,3
DLC2,DLC20,1
DLC2,DLC22,5
DLC2,DLC9,10
DLC2,DLC7,1
DLC2,DLC17,1
DLC20,DLC16,2
DLC20,DLC12,5
DLC20,DLC24,6
DLC20,DLC2,4
DLC20,DLC18,8
DLC20,DLC22,5
DLC20,DLC9,6
DLC20,DLC7,3
DLC20,DLC17,2
DLC20,DLC5,1
DLC18,DLC16,6
DLC18,DLC22,1
DLC18,DLC9,1
DLC18,DLC7,2
DLC18,DLC17,4
DLC22,DLC16,5
DLC22,DLC2,8
DLC22,DLC20,6
DLC22,DLC18,2
DLC22,DLC9,4
DLC22,DLC7,3
DLC22,DLC17,4
DLC9,DLC24,4
DLC9,DLC2,8
DLC9,DLC20,5
DLC9,DLC18,1
DLC9,DLC22,5
DLC9,DLC7,1
DLC9,DLC17,3
DLC9,DLC5,1
DLC7,DLC16,2
DLC7,DLC18,2
DLC7,DLC22,5
DLC7,DLC9,2
DLC7,DLC17,1
DLC17,DLC16,3
DLC17,DLC12,1
DLC17,DLC2,6
DLC17,DLC20,3
DLC17,DLC18,1
DLC17,DLC22,4
DLC17,DLC9,1
DLC5,DLC12,1
DLC5,DLC24,1
DLC5,DLC2,1
DLC5,DLC18,1
DLC5,DLC22,1
DLC5,DLC7,1
